1,3,1,1,1,5,7,0,0,0,0,No
2,10,2,4,2,7,7,0,0,0,0,No
3,12,3,1,3,5,7,0,0,0,0,No
4,13,4,1,4,7,7,0,0,0,0,No
5,15,5,1,5,7,7,0,0,0,0,No
6,16,6,1,6,7,7,0,0,0,0,No
7,23,7,4,7,6,6,0,0,0,0,No
8,25,8,1,9,7,7,0,0,0,0,No
9,28,9,1,1,7,7,0,0,0,0,No
10,38,1,1,2,7,7,0,0,0,0,No
11,39,2,4,3,7,7,0,0,0,0,No
12,40,3,1,4,7,7,0,0,0,0,No
13,41,4,4,5,7,5,0,0,0,0,No
14,42,2,4,6,7,7,0,0,0,0,No
15,43,7,1,8,9,9,0,0,0,0,No
16,44,8,5,7,9,9,0,0,0,0,No
17,45,9,4,4,7,7,0,0,0,0,No
18,48,2,5,2,14,7,0,0,0,0,No
19,50,3,1,1,7,7,0,0,0,0,No
20,51,5,4,3,8,8,0,0,0,0,No
21,52,2,5,5,7,5,0,0,0,0,No
22,54,3,4,2,8,8,0,0,0,0,No
23,60,4,4,8,7.5,7.5,0,0,0,0,No
24,62,5,4,4,7,7,0,0,0,0,No
25,69,5,5,5,10,7.5,0,0,0,0,No
26,70,6,1,1,7.5,7.5,0,0,0,0,No
27,71,9,4,4,7,5,0,0,0,0,No
28,78,7,6,1,6,6,0,0,0,0,No
29,80,5,4,2,7,5,0,0,0,0,No
30,84,3,4,1,7,5,0,0,0,0,No
31,88,6,6,2,7.5,7.5,0,0,0,0,No
32,92,5,1,7,10,7.5,0,0,0,0,No
33,93,3,5,4,10,7,0,0,0,0,No
34,96,6,1,5,7.5,7.5,0,0,0,0,No
35,100,5,5,8,10,7,0,0,0,0,No
36,101,5,5,7,10,7,0,0,0,0,No
37,104,6,4,5,7,7,0,0,0,0,No
38,105,6,4,4,7,7,0,0,0,0,No
39,106,4,4,8,7,5,0,0,0,0,No
40,108,4,4,6,6,6,0,0,0,0,No
41,110,7,5,9,10,7,0,0,0,0,No
42,111,8,1,8,7,7,0,0,0,0,No
43,112,8,5,7,10,7,0,0,0,0,No
44,114,8,5,5,7,5,0,0,0,0,No
45,115,8,4,4,7,7,0,0,0,0,No
46,116,8,9,2,5.5,5.5,0,0,0,0,No
47,117,8,4,4,7,7,0,0,0,0,No
48,118,1,4,4,6,6,0,0,0,0,No
49,119,1,4,8,6,6,0,0,0,0,No
50,120,6,4,5,7,7,0,0,0,0,No
51,121,4,4,7,6,6,0,0,0,0,No
52,122,9,4,4,6,6,0,0,0,0,No
53,125,5,4,5,7,7,0,0,0,0,No
54,134,3,1,6,7,7,0,0,0,0,No
55,151,2,12,5,7,7,0,0,0,0,No
56,152,2,12,5,7,7,0,0,0,0,No
57,154,2,12,2,7,7,0,0,0,0,No
58,160,4,12,0,10,7.5,0,0,0,0,No
59,165,4,1,5,8.5,8.5,0,0,0,0,No
60,166,5,1,4,10,7.5,0,0,0,0,No
61,167,4,1,8,10,7.5,0,0,0,0,No
62,176,8,1,7,10,7.5,0,0,0,0,No
,,,,,,,,,,,
